rtt_bucket,lower_bound,ping_count
1,0.0,4898588
2,10.0,3781936
3,20.0,2761019
4,30.0,1585184
5,40.0,1480063
6,50.0,920707
7,60.0,25179
8,70.0,179039
9,80.0,4152050
10,90.0,4475637
11,100.0,4914493
12,110.0,3845738
13,120.0,221924
14,130.0,810242
15,140.0,947100
16,150.0,5555548
17,160.0,1299878
18,170.0,2185633
19,180.0,83430
20,190.0,555594
21,200.0,321116
22,210.0,2148446
23,220.0,781311
24,230.0,3360331
25,240.0,5299797
26,250.0,2341145
27,260.0,2901215
28,270.0,727591
29,280.0,122675
30,290.0,1029672
31,300.0,3790062
32,310.0,1860179
33,320.0,2409829
34,330.0,790182
35,340.0,425577
36,350.0,1059602
37,360.0,438971
38,370.0,171929
39,380.0,1375302
40,390.0,861897
41,400.0,6984076
