"rtt_bucket","lower_bound","ping_count"
1,"0.0000000000000000","10032570"
2,"10.0000000000000000","13671290"
3,"20.0000000000000000","6263335"
4,"30.0000000000000000","4655622"
5,"40.0000000000000000","5522992"
6,"50.0000000000000000","382502"
7,"60.0000000000000000","1286581"
8,"70.0000000000000000","1458"
9,"80.0000000000000000","3837108"
10,"90.0000000000000000","12979981"
11,"100.0000000000000000","13056136"
12,"110.0000000000000000","7360903"
13,"120.0000000000000000","9876546"
14,"130.0000000000000000","8647894"
15,"140.0000000000000000","11425734"
16,"150.0000000000000000","4865051"
17,"160.0000000000000000","1473221"
18,"170.0000000000000000","15339684"
19,"180.0000000000000000","10312682"
20,"190.0000000000000000","1520802"
21,"200.0000000000000000","2417656"
22,"210.0000000000000000","2327500"
23,"220.0000000000000000","1015351"
24,"230.0000000000000000","2216452"
25,"240.0000000000000000","4155319"
26,"250.0000000000000000","7253676"
27,"260.0000000000000000","5917210"
28,"270.0000000000000000","8664494"
29,"280.0000000000000000","4566474"
30,"290.0000000000000000","2426040"
31,"300.0000000000000000","3371938"
32,"310.0000000000000000","1058164"
33,"320.0000000000000000","1123771"
34,"330.0000000000000000","753299"
35,"340.0000000000000000","236742"
36,"350.0000000000000000","29468"
37,"360.0000000000000000","56714"
38,"370.0000000000000000","11639"
39,"380.0000000000000000","1353507"
40,"390.0000000000000000","403856"
41,"400.0000000000000000","4240085"
